dataset,method,trial_id,auc_tune,lambda1_scale,lambda1_abs,lambda2_ratio,lambda2_abs,alpha
Sandiego,SSCTV_LOGDET,1,0.9760204081632653,0.75,0.005455447255899809,0.03,0.00016366341767699426,0.5
Sandiego,SSCTV_LOGDET,2,0.9755739795918368,0.75,0.005455447255899809,0.03,0.00016366341767699426,1.0
Sandiego,SSCTV_LOGDET,3,0.9762117346938776,0.75,0.005455447255899809,0.03,0.00016366341767699426,2.0
Sandiego,SSCTV_LOGDET,4,0.9760204081632653,0.75,0.005455447255899809,0.1,0.0005455447255899809,0.5
Sandiego,SSCTV_LOGDET,5,0.9755739795918368,0.75,0.005455447255899809,0.1,0.0005455447255899809,1.0
Sandiego,SSCTV_LOGDET,6,0.9762117346938776,0.75,0.005455447255899809,0.1,0.0005455447255899809,2.0
Sandiego,SSCTV_LOGDET,7,0.9760204081632653,0.75,0.005455447255899809,0.3,0.0016366341767699425,0.5
Sandiego,SSCTV_LOGDET,8,0.9755102040816327,0.75,0.005455447255899809,0.3,0.0016366341767699425,1.0
Sandiego,SSCTV_LOGDET,9,0.9762117346938776,0.75,0.005455447255899809,0.3,0.0016366341767699425,2.0
Sandiego,SSCTV_LOGDET,10,0.9675382653061224,1.0,0.007273929674533079,0.03,0.00021821789023599236,0.5
Sandiego,SSCTV_LOGDET,11,0.9762755102040817,1.0,0.007273929674533079,0.03,0.00021821789023599236,1.0
Sandiego,SSCTV_LOGDET,12,0.9769770408163265,1.0,0.007273929674533079,0.03,0.00021821789023599236,2.0
Sandiego,SSCTV_LOGDET,13,0.9674107142857142,1.0,0.007273929674533079,0.1,0.0007273929674533079,0.5
Sandiego,SSCTV_LOGDET,14,0.9762755102040817,1.0,0.007273929674533079,0.1,0.0007273929674533079,1.0
Sandiego,SSCTV_LOGDET,15,0.9769770408163265,1.0,0.007273929674533079,0.1,0.0007273929674533079,2.0
Sandiego,SSCTV_LOGDET,16,0.9674744897959184,1.0,0.007273929674533079,0.3,0.0021821789023599237,0.5
Sandiego,SSCTV_LOGDET,17,0.9762755102040817,1.0,0.007273929674533079,0.3,0.0021821789023599237,1.0
Sandiego,SSCTV_LOGDET,18,0.9769132653061225,1.0,0.007273929674533079,0.3,0.0021821789023599237,2.0
Sandiego,SSCTV_LOGDET,19,0.9518494897959184,1.25,0.009092412093166349,0.03,0.00027277236279499046,0.5
Sandiego,SSCTV_LOGDET,20,0.9764030612244898,1.25,0.009092412093166349,0.03,0.00027277236279499046,1.0
Sandiego,SSCTV_LOGDET,21,0.9765943877551021,1.25,0.009092412093166349,0.03,0.00027277236279499046,2.0
Sandiego,SSCTV_LOGDET,22,0.9517219387755103,1.25,0.009092412093166349,0.1,0.000909241209316635,0.5
Sandiego,SSCTV_LOGDET,23,0.9764030612244898,1.25,0.009092412093166349,0.1,0.000909241209316635,1.0
Sandiego,SSCTV_LOGDET,24,0.9765943877551021,1.25,0.009092412093166349,0.1,0.000909241209316635,2.0
Sandiego,SSCTV_LOGDET,25,0.9515943877551021,1.25,0.009092412093166349,0.3,0.002727723627949905,0.5
Sandiego,SSCTV_LOGDET,26,0.9764668367346939,1.25,0.009092412093166349,0.3,0.002727723627949905,1.0
Sandiego,SSCTV_LOGDET,27,0.9765943877551021,1.25,0.009092412093166349,0.3,0.002727723627949905,2.0
