noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,balloons_ms,Noisy,11.759684,0.024559,176.547478,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,balloons_ms,SSCTV-RPCA,48.484018,0.992707,2.886976,4398.586205
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,balloons_ms,CTV-RPCA,43.588620,0.994162,5.514806,781.846050
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,balloons_ms,RPCA,26.360914,0.805768,33.179716,123.197286
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,beads_ms,Noisy,11.760675,0.110258,240.597958,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,beads_ms,SSCTV-RPCA,38.206349,0.978313,12.218738,4534.100496
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,beads_ms,CTV-RPCA,31.798674,0.972973,27.032628,800.424008
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,beads_ms,RPCA,21.370818,0.811511,81.370680,115.206205
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cd_ms,Noisy,11.762097,0.021378,383.119609,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cd_ms,SSCTV-RPCA,36.536369,0.982202,21.135776,4436.979415
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cd_ms,CTV-RPCA,33.180354,0.977731,31.412214,799.958000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cd_ms,RPCA,21.483913,0.877108,123.325223,118.789156
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,chart_and_stuffed_toy_ms,Noisy,11.755732,0.062659,156.863741,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,chart_and_stuffed_toy_ms,SSCTV-RPCA,45.459968,0.988153,4.426838,4545.320716
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,chart_and_stuffed_toy_ms,CTV-RPCA,38.886337,0.989525,7.154361,817.970014
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,chart_and_stuffed_toy_ms,RPCA,28.498965,0.889594,24.519041,114.221423
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,clay_ms,Noisy,11.756099,0.020492,413.051335,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,clay_ms,SSCTV-RPCA,46.108093,0.989145,8.045421,4480.131259
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,clay_ms,CTV-RPCA,40.335408,0.986840,15.563427,790.725699
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,clay_ms,RPCA,21.647619,0.818607,133.611862,116.111628
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cloth_ms,Noisy,11.764416,0.140976,141.183400,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cloth_ms,SSCTV-RPCA,40.092798,0.976379,5.648992,4593.409477
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,cloth_ms,CTV-RPCA,37.838005,0.983277,7.321593,809.673678
